Date,Id,Term,Company,Rate,MaxLTV
31/05/2020,,5yr,Yorkshire Building Society,2.05,75
30/06/2020,,2yr,Bank of Ireland UK,1.44,75
30/06/2020,,2yr,Barclays Mortgage,1.34,75
30/06/2020,,2yr,Clydesdale Bank,1.39,75
30/06/2020,,2yr,Coventry BS,1.3,75
30/06/2020,,2yr,HSBC,1.24,75
30/06/2020,,2yr,Leeds BS,1.24,75
30/06/2020,,2yr,Metro Bank,2.59,75
30/06/2020,,2yr,NatWest,1.25,75
30/06/2020,,2yr,Newcastle BS,2.15,75
30/06/2020,,2yr,Nottingham BS,1.54,75
30/06/2020,,2yr,Principality BS,1.65,75
30/06/2020,,2yr,Royal Bank of Scotland,1.25,75
30/06/2020,,2yr,Santander,1.44,75
30/06/2020,,2yr,Skipton BS,1.29,75
30/06/2020,,2yr,Virgin Money,1.7,75
30/06/2020,,2yr,Yorkshire Bank,1.39,75
30/06/2020,,2yr,Yorkshire Building Society,1.33,75
30/06/2020,,5yr,Bank of Ireland UK,1.63,75
30/06/2020,,5yr,Barclays Mortgage,1.55,75
30/06/2020,,5yr,Clydesdale Bank,1.8,75
30/06/2020,,5yr,Coventry BS,1.59,75
30/06/2020,,5yr,HSBC,1.46,75
30/06/2020,,5yr,Leeds BS,1.65,75
30/06/2020,,5yr,Metro Bank,2.84,75
30/06/2020,,5yr,NatWest,1.59,75
30/06/2020,,5yr,Newcastle BS,2.49,75
30/06/2020,,5yr,Nottingham BS,1.7,75
30/06/2020,,5yr,Principality BS,1.71,75
30/06/2020,,5yr,Royal Bank of Scotland,1.65,75
30/06/2020,,5yr,Santander,1.59,75
30/06/2020,,5yr,Skipton BS,1.57,75
30/06/2020,,5yr,Virgin Money,1.69,75
30/06/2020,,5yr,Yorkshire Bank,1.94,75
30/06/2020,,5yr,Yorkshire Building Society,1.53,75
31/07/2020,,2yr,Bank of Ireland UK,1.44,75
31/07/2020,,2yr,Barclays Mortgage,1.21,75
31/07/2020,,2yr,Clydesdale Bank,1.39,75
31/07/2020,,2yr,Coventry BS,1.3,75
31/07/2020,,2yr,HSBC,1.24,75
31/07/2020,,2yr,Leeds BS,1.14,75
31/07/2020,,2yr,Metro Bank,2.59,75
31/07/2020,,2yr,NatWest,1.24,75
31/07/2020,,2yr,Newcastle BS,2.15,75
31/07/2020,,2yr,Nottingham BS,1.54,75
31/07/2020,,2yr,Principality BS,1.52,75
31/07/2020,,2yr,Royal Bank of Scotland,1.24,75
31/07/2020,,2yr,Santander,1.44,75
31/07/2020,,2yr,Skipton BS,1.41,75
31/07/2020,,2yr,Virgin Money,1.7,75
31/07/2020,,2yr,Yorkshire Bank,1.39,75
31/07/2020,,2yr,Yorkshire Building Society,1.33,75
31/07/2020,,5yr,Bank of Ireland UK,1.63,75
31/07/2020,,5yr,Barclays Mortgage,1.48,75
31/07/2020,,5yr,Clydesdale Bank,1.8,75
31/07/2020,,5yr,Coventry BS,1.59,75
31/07/2020,,5yr,HSBC,1.46,75
31/07/2020,,5yr,Leeds BS,1.58,75
31/07/2020,,5yr,Metro Bank,2.84,75
31/07/2020,,5yr,NatWest,1.54,75
31/07/2020,,5yr,Newcastle BS,2.49,75
31/07/2020,,5yr,Nottingham BS,1.7,75
31/07/2020,,5yr,Principality BS,1.71,75
31/07/2020,,5yr,Royal Bank of Scotland,1.6,75
31/07/2020,,5yr,Santander,1.59,75
31/07/2020,,5yr,Skipton BS,1.49,75
31/07/2020,,5yr,Virgin Money,1.69,75
31/07/2020,,5yr,Yorkshire Bank,1.94,75
31/07/2020,,5yr,Yorkshire Building Society,1.59,75
31/08/2020,,2yr,Bank of Ireland UK,1.69,75
31/08/2020,,2yr,Barclays Mortgage,1.85,75
31/08/2020,,2yr,Clydesdale Bank,1.49,75
31/08/2020,,2yr,Coventry BS,1.45,75
31/08/2020,,2yr,HSBC,1.34,75
31/08/2020,,2yr,Leeds BS,1.14,75
31/08/2020,,2yr,Metro Bank,2.59,75
31/08/2020,,2yr,NatWest,1.34,75
31/08/2020,,2yr,Newcastle BS,1.99,75
31/08/2020,,2yr,Nottingham BS,1.8,75
31/08/2020,,2yr,Principality BS,1.85,75
31/08/2020,,2yr,Royal Bank of Scotland,1.34,75
31/08/2020,,2yr,Santander,1.69,75
31/08/2020,,2yr,Skipton BS,1.99,75
31/08/2020,,2yr,Virgin Money,1.9,75
31/08/2020,,2yr,Yorkshire Bank,1.49,75
31/08/2020,,2yr,Yorkshire Building Society,1.7,75
31/08/2020,,5yr,Bank of Ireland UK,1.81,75
31/08/2020,,5yr,Barclays Mortgage,1.99,75
31/08/2020,,5yr,Clydesdale Bank,1.8,75
31/08/2020,,5yr,Coventry BS,1.75,75
31/08/2020,,5yr,HSBC,1.66,75
31/08/2020,,5yr,Leeds BS,1.78,75
31/08/2020,,5yr,Metro Bank,2.84,75
31/08/2020,,5yr,NatWest,1.6,75
31/08/2020,,5yr,Newcastle BS,2.49,75
31/08/2020,,5yr,Nottingham BS,1.7,75
31/08/2020,,5yr,Principality BS,1.97,75
31/08/2020,,5yr,Royal Bank of Scotland,1.6,75
31/08/2020,,5yr,Santander,1.79,75
31/08/2020,,5yr,Skipton BS,1.49,75
31/08/2020,,5yr,Virgin Money,1.89,75
31/08/2020,,5yr,Yorkshire Bank,1.94,75
31/08/2020,,5yr,Yorkshire Building Society,1.99,75
30/09/2020,,2yr,Bank of Ireland UK,2,75
30/09/2020,,2yr,Barclays Mortgage,1.99,75
30/09/2020,,2yr,Clydesdale Bank,1.94,75
30/09/2020,,2yr,Coventry BS,1.89,75
30/09/2020,,2yr,HSBC,1.59,75
30/09/2020,,2yr,Leeds BS,1.44,75
30/09/2020,,2yr,Metro Bank,2.59,75
30/09/2020,,2yr,NatWest,1.61,75
30/09/2020,,2yr,Newcastle BS,2.24,75
30/09/2020,,2yr,Nottingham BS,1.8,75
30/09/2020,,2yr,Principality BS,2.06,75
30/09/2020,,2yr,Royal Bank of Scotland,1.66,75
30/09/2020,,2yr,Santander,1.69,75
30/09/2020,,2yr,Skipton BS,2.11,75
30/09/2020,,2yr,Virgin Money,2.18,75
30/09/2020,,2yr,Yorkshire Bank,1.49,75
30/09/2020,,2yr,Yorkshire Building Society,1.7,75
30/09/2020,,5yr,Bank of Ireland UK,2.27,75
30/09/2020,,5yr,Barclays Mortgage,2.24,75
30/09/2020,,5yr,Clydesdale Bank,2.24,75
30/09/2020,,5yr,Coventry BS,2.15,75
30/09/2020,,5yr,HSBC,1.86,75
30/09/2020,,5yr,Leeds BS,2.24,75
